step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
220000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.29,0.0030303,0.29,11.867,6.01725,0.188183,0.501919,0,0.00367676,0.0733229,0.0501448,18.9209,0.128379,0.29,0.000398719
220000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.43,0.00242424,0.42,12.4178,6.24352,0.191368,0.501333,0,1.48725e-05,0.000246335,0.060375,18.8276,0.134683,0.43,1.1119e-06
220000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.32,0.00181818,0.26,15.7093,5.95246,0.189963,0.500253,0,0.000212617,0.00087405,0.243254,18.9968,0.116831,0.32,4.52526e-06
230000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.32,0.00242424,0.27,13.3972,6.76085,0.193727,0.503515,0,6.97662e-05,0.00168065,0.0415114,18.6548,0.164979,0.32,1.08498e-05
230000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.46,0.00141414,0.48,14.7471,5.34573,0.195883,0.507626,0,0.00126736,0.00379869,0.33363,18.6464,0.153734,0.46,2.18459e-05
230000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.21,0.0020202,0.24,13.8332,6.28404,0.187312,0.500788,0,1.37691e-05,0.00017119,0.0804317,18.9744,0.126709,0.21,1.1047e-06
230000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.42,0.00121212,0.39,15.9145,6.37264,0.195571,0.502495,0,7.15698e-05,0.000332355,0.215342,18.7076,0.144347,0.42,1.47232e-06
230000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.28,0.00323232,0.21,14.7691,5.4171,0.189285,0.501677,0,2.36732e-05,0.000228845,0.103446,19.0516,0.120226,0.28,1.84409e-06
240000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.41,0.00181818,0.32,14.3609,6.46056,0.194308,0.503798,0,9.12705e-05,0.00123899,0.0736655,18.665,0.164867,0.41,6.48592e-06
240000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.49,0.00121212,0.43,13.4037,5.14299,0.196091,0.507333,0,7.58762e-05,0.00140544,0.0539874,18.6199,0.164365,0.49,6.34394e-06
240000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.23,0.00181818,0.25,15.4754,6.16324,0.187635,0.501202,0,0.000261797,0.00377952,0.0692671,18.9702,0.122713,0.23,2.29683e-05
240000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.46,0.0010101,0.46,15.1359,6.60732,0.19621,0.501838,0,0.000117913,0.00265629,0.0443902,18.695,0.146177,0.46,1.5549e-05
