task,f,shock_ce,shock_acc,N,N2,D2,cos,arm,k,act,param,seed,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,posfrac,acc
88,0.9017857142857143,0.37890198826789856,0.882568359375,3.8897079019560454,15.17811727056011,0.24701804892892545,-0.037587152273597935,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
89,0.9005102040816326,0.29336559772491455,0.90576171875,3.9044974229962066,15.292402236531267,0.24236378968635336,-0.033342666267162986,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
90,0.9030612244897959,0.21331512928009033,0.93701171875,3.91271252947466,15.35749006661849,0.23214860898525913,-0.04533708836782045,K010_SN06,0.1,snake,0.6,2,0.000941220617077226,0.8617866620182775,3.228673742428428e-05,0.42887337878331044,78.87482566917278,0.08730191146679761,0.9614692187084782,1.0,3.552713678800501e-15,0.01687661793682557,13.755635747296266,1.365321863923361,-0.6197476872432748,0.2874609375,0.953000009059906
91,0.9017857142857143,0.26522427797317505,0.918701171875,3.923894642689734,15.445532930316052,0.24720561440807678,-0.04163219377910867,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
92,0.9005102040816326,0.5696989297866821,0.826904296875,3.9330390371663224,15.516069381748418,0.2792887799930861,-0.050321040420657555,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
93,0.9030612244897959,0.17981824278831482,0.943115234375,3.942181135248967,15.587329803584794,0.22035289941844197,-0.0406301343872794,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
94,0.9005102040816326,0.26064661145210266,0.916259765625,3.955880763056108,15.695900172069555,0.24414888786258687,-0.03568908173396656,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
95,0.9017857142857143,0.3128494322299957,0.896484375,3.963615736036504,15.755893992839356,0.23418312081069176,-0.04514973847310897,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
96,0.9030612244897959,0.1978805810213089,0.937744140625,3.979370196717399,15.88092232936629,0.22041953277494708,-0.02605509235182915,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
97,0.9005102040816326,0.18632641434669495,0.938232421875,3.9844052686023703,15.922078154079005,0.2199177256477609,-0.04863846396074353,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
98,0.9017857142857143,0.3293762505054474,0.893310546875,3.992944623082522,15.988561760146007,0.2150941294780664,-0.0399489436492437,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
99,0.9030612244897959,0.18940894305706024,0.942138671875,4.007811371876652,16.107388415372643,0.23449150574450697,-0.03125715091440948,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
100,0.9017857142857143,0.21769306063652039,0.932861328125,4.014518836694304,16.16216819581105,0.2221014438249407,-0.04518199309741261,K010_SN06,0.1,snake,0.6,2,0.0010820500630916512,0.8809034557557167,3.543535245554425e-05,0.43485026470589117,79.71545795333473,0.08837977558737112,0.9781253717321924,1.0,2.3092638912203256e-14,0.016928811376845966,13.119730551709932,1.3833279196523378,-0.6577265442793799,0.28138671875,0.9538000226020813
101,0.9030612244897959,0.1831682026386261,0.93896484375,4.025520961273747,16.25103542414505,0.2215000466465514,-0.03530490155883296,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
102,0.9017857142857143,0.222831591963768,0.929931640625,4.030785443639943,16.294418395275997,0.21480788469859202,-0.047266487933262595,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
103,0.9017857142857143,0.23092865943908691,0.926025390625,4.042313110348097,16.387156628674934,0.2452906698196305,-0.03887340470962195,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
104,0.9043367346938775,0.1888907551765442,0.942626953125,4.050263938165018,16.450446078063234,0.23590851024309653,-0.04438864643916233,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
105,0.9017857142857143,0.29104185104370117,0.908447265625,4.055783028701241,16.4974778939639,0.2232552176180228,-0.04724233750861501,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
106,0.9005102040816326,0.2647862434387207,0.916015625,4.067641915575778,16.593496468388828,0.2208884230205171,-0.0336212815140606,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
107,0.9017857142857143,0.20992091298103333,0.9326171875,4.077151563694231,16.670823512610568,0.24175108451217808,-0.041791206668623626,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
108,0.9017857142857143,0.2650754749774933,0.9189453125,4.086336516750934,16.745890326939815,0.22289026538030474,-0.039154686985513255,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
109,0.9030612244897959,0.17788881063461304,0.943603515625,4.097433708064116,16.83627457391859,0.23561611127546528,-0.0375220245094956,K010_SN06,0.1,snake,0.6,2,,,,,,,,,,,,,,,
110,0.9017857142857143,0.358328253030777,0.886474609375,4.106940219827459,16.91519905516848,0.24070225450314786,-0.04116529097165714,K010_SN06,0.1,snake,0.6,2,0.0010128979243158127,0.892383783472451,3.174722027602817e-05,0.45657561158502047,78.30610036378127,0.08719760993942385,0.9836381098361185,1.0,7.993605777301127e-15,0.018228245324116224,13.204905366546466,1.4052093952073799,-0.6646673553556157,0.28318359375,0.953000009059906
