seed,env,act,task,floor_acc,online_acc,online_ce,finite,train_acc,train_ce,zmean_l1,gate_mean_l1,lowgate_l1,tinygate_l1,neggate_l1,zmed_l1,zmean_l2,gate_mean_l2,lowgate_l2,tinygate_l2,neggate_l2,zmed_l2,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1
0,RL,ELU1,86,0.1216667,0.1045104,2.317903,True,0.105,2.316007,-1.077711,0.3040657,0.6506584,0.2016167,0,-10.07456,-192.669,1.592296e-12,1,0.9999917,0,-194.668,14.00063,4.231641,3.765173,13.71449
0,RL,R,86,0.1216667,0.1216146,2.296834,True,0.1216667,2.29611,-6.015767,0,1,1,0,-7.271012,-0.2757259,0,1,1,0,-0.004251896,3.12973,2.514979,5.253899,3.03622
0,RL,GELU,86,0.1216667,0.2058333,2.07072,True,0.2591667,1.917938,-20.66973,6.737165e-05,0.9970916,0.976825,0.236025,-20.62508,-0.09134579,0.443482,0.013625,0.003116667,0.01589167,-0.08469535,18.57237,28.74446,8.846653,18.47062
0,RL,SILU,86,0.1216667,0.1215833,2.298776,True,0.1216667,2.296096,-29.98555,0.03086547,0.9672167,0.85655,0.9653084,-38.95374,-117.1579,-2.171646e-08,1,0.9991501,0.475825,-95.35602,19.99474,13.92856,94.39724,19.4787
0,PM,LR,86,0.1191667,0.9808334,0.08888341,True,1,0.0002604936,-7.645105,0.2149075,0,0,0,-7.305568,-15.31214,0.197935,0,0,0,-16.08522,15.52964,5.875888,4.537583,15.33167
0,PM,ELU1,86,0.1191667,0.9859896,0.07139892,True,1,0.0002590974,-3.800715,0.2964449,0.5946749,0.025225,0,-5.138163,-37.17232,0.06696412,0.9217082,0.7632334,0,-37.37719,15.3532,6.049278,4.375943,15.21503
0,PM,R,86,0.1191667,0.7871979,0.5813346,True,0.9116667,0.2421735,-7.628294,0.02554167,0.9744583,0.9744583,0,-8.287466,-12.11377,0.103575,0.8964249,0.8964249,0,-12.76929,8.14863,4.985133,31.85183,7.872362
0,PM,GELU,86,0.1191667,0.117375,2.297472,True,0.1191667,2.297188,-7.197084,0.04180088,0.9091584,0.6815916,0.8327667,-8.978754,-72.33087,-2.786667e-15,1,1,0.001808333,-61.64165,12.40343,14.45582,27.74492,12.14851
0,PM,SILU,86,0.1191667,0.5604166,1.439377,True,0.9066667,0.3728755,-7.868273,0.0330466,0.8382916,0.0181,0.9352666,-8.347317,-18.8976,-0.004186601,0.9441,0.3508417,0.9897916,-17.19161,15.25623,13.61509,40.92608,15.08574
1,RL,LR,86,0.1133333,0.4647917,1.580969,True,0.76,0.7952044,-11.78572,0.125125,0,0,0,-11.86463,-8.132161,0.12583,0,0,0,-8.145351,32.01534,4.377606,4.699163,31.59729
1,RL,ELU1,86,0.1133333,0.1024792,2.319265,True,0.09416667,2.30828,-1.124532,0.3020502,0.6616333,0.1939166,0,-10.12251,-183.4786,7.814817e-15,1,1,0,-185.0071,13.23887,4.060541,3.760519,12.99294
1,RL,R,86,0.1133333,0.1133333,2.298079,True,0.1133333,2.297339,-5.871558,0,1,1,0,-6.65449,-0.2616176,0,1,1,0,-0.004888603,3.085286,2.350704,6.040824,3.001943
