seed,env,checkpoint,layer,branch,task,step,ce,acc,online_ce,online_acc
1,PM,50,1,C10,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,D10,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,RB20,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,RC20,52,0,20.66779899597168,0.09916666895151138,,
1,PM,50,1,RD20,52,0,20.66779899597168,0.09916666895151138,,
2,PM,50,1,A,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,B20,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,C20,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,D20,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,C5,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,D5,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,C10,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,D10,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,RB20,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,RC20,52,0,12.80317211151123,0.11666666716337204,,
2,PM,50,1,RD20,52,0,12.80317211151123,0.11666666716337204,,
0,PM,50,1,A,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,B20,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,C20,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,D20,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,C5,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,D5,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,C10,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,D10,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,RB20,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,RC20,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
0,PM,50,1,RD20,52,75,0.5756160020828247,0.8133333325386047,2.6051528453826904,0.565833330154419
1,PM,50,1,A,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,B20,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,C20,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,D20,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,C5,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,D5,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,C10,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,D10,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,RB20,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,RC20,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
1,PM,50,1,RD20,52,75,0.6667409539222717,0.7908333539962769,3.2067911624908447,0.5391666889190674
2,PM,50,1,A,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,B20,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,C20,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,D20,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,C5,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,D5,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,C10,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,D10,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,RB20,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,RC20,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
2,PM,50,1,RD20,52,75,0.6751738786697388,0.7733333706855774,2.62341570854187,0.5508333444595337
0,PM,50,1,A,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,B20,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,C20,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,D20,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,C5,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,D5,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,C10,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,D10,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,RB20,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,RC20,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
0,PM,50,1,RD20,52,375,0.10922244191169739,0.9691666960716248,0.7742496132850647,0.8373333215713501
1,PM,50,1,A,52,375,0.14617955684661865,0.9575000405311584,0.9375765919685364,0.8171666860580444
