arm,task,unit,m0,dm,cnorm0,fossil,zbar0,pos0,dep_task,align_task,dnorm2,cos_task,gpos,gneg,dm20,dm100,gpos20,gneg20,split_identity
R,21,26,-0.022741355408159657,0.0034675947007024076,3.380693889694418,1.1217658640989505,-2.985924574254507,0.00390625,0.7456537679909441,-0.05107428222310142,0.6945794857678464,-0.008747779333176905,0.006311169802405084,0.0,0.0,0.0004573943021118886,0.0,0.0,9.270362255620057e-15
R,21,27,0.002921318348501013,-0.003909075049612474,3.031701961440513,0.5785088189358067,-0.5122542249316578,0.234375,0.5021741455026887,-0.06286530973815763,0.4393088357645283,-0.014630776789276888,0.009602778324283096,0.0,-0.006322772828191458,-0.005022697708357423,0.012836721677471104,0.0,9.270362255620057e-15
R,21,28,-0.02512624722090104,0.0,1.9533487407105279,0.26811444913594745,-2.960352249240926,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,29,-0.02980908941645789,-2.853771640767094e-13,3.1358238269930414,0.6277613306637821,-4.541832170165003,0.0,4.999381289065018e-20,-1.3332113486748333e-11,-1.333155807969888e-11,-0.00950734426644906,0.0,0.0,-2.5405528021463173e-13,-2.853771640767094e-13,0.0,0.0,9.270362255620057e-15
R,21,30,0.003967986281854885,0.004748608764574022,3.888959496635827,1.1916100760382364,-0.1983969925175598,0.408203125,1.0190879745167287,-0.1959400070085469,0.8231479675081843,-0.02495478687515042,-0.02492528150807839,0.0,0.0019779638993840105,-0.001619914762530388,-0.01922036675230677,0.0,9.270362255620057e-15
R,21,31,-0.007844661459061247,-0.003862467894986344,3.947911505973533,1.0220457322285692,-0.40055710485778484,0.365234375,0.3379147563289395,-0.054626999988025074,0.28328775634092374,-0.011901627870207557,0.03352058249560567,0.0,-0.0035033288486189047,-0.005673122565987832,0.0363549870992523,0.0,9.270362255620057e-15
R,21,32,-0.025625893787020817,-0.00206557395516457,1.7028040526932162,0.21924817834148352,-2.2542806147010888,0.01171875,4.405723905174714,-0.0003507909321940478,4.4053731142425185,-4.907327573109851e-05,0.016333405744448807,0.0,0.0009754973652889021,0.009375749890954905,-0.00030373528860953554,0.0,9.270362255620057e-15
R,21,33,-0.02728241197106325,0.0,2.0611982624003105,0.27086225520569784,-3.23801335307739,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,34,-0.016046372532122294,0.003091446690205535,3.7900317483895223,0.8207112744504426,-1.397399700009088,0.08984375,1.324441837686817,-0.4628820696118175,0.8615597680749989,-0.053061688879626076,-0.041675435362898784,0.0,0.003161309221097178,0.003933365704513712,-0.03367108060779324,0.0,9.270362255620057e-15
R,21,35,-0.025175276829713766,0.0,1.8829970148627284,0.15222411364563662,-2.5029618093285793,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,36,-0.02569852051841067,-0.00039030614468118716,3.842370517016856,1.0494618271467473,-3.7038159354462437,0.0,0.002866479581756851,-0.0054400663855727035,-0.0025735868038108123,-0.013222103008071103,0.0011571465283118495,0.0,0.00013513726790566878,0.00015404950074892514,0.0,0.0,9.270362255620057e-15
R,21,37,-0.015376964986156667,-0.004556391916872703,3.752012519183514,0.6491744729984323,-1.354744331992193,0.046875,0.07556765280977236,0.036709560620493714,0.11227721343026253,0.01779577661385059,0.026062629212038127,0.0,-0.002082564744694314,-0.0036749381048993,0.019407715475497765,0.0,9.270362255620057e-15
R,21,38,-0.021631589909181726,0.0,1.4499948597766412,0.15456332908610554,-2.413888672703681,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,9.270362255620057e-15
R,21,39,-0.02454249894792007,-0.002680339977072134,2.9990089390177843,0.4923008626638482,-2.39959780618367,0.005859375,0.039570100919244976,-0.030800780477432486,0.008769320441809114,-0.02581489640744707,0.0013199602249098661,0.0,-0.0012283873692263579,-0.001794758247231176,0.0009929117246923471,0.0,9.270362255620057e-15
R,21,40,0.0218321250001597,0.004483912706291447,4.142212921584353,1.365439729509337,2.993627784177196,0.990234375,1.3739129043729226,-0.6843680742298481,0.6895448301430704,-0.07047705132352666,-0.03905276148918518,0.0,0.0011522154255748764,0.0016316336116929326,0.06162840183550132,0.0,9.270362255620057e-15
R,21,41,-0.013002135754857367,-0.004696150808833451,3.531288549421363,0.84324089305229,-1.7972795399688977,0.021484375,0.1653036975351005,-0.019270897272718003,0.14603280026237897,-0.006711157798814617,0.022873244325514294,0.0,-0.0001849926158535468,-0.0029647902617157074,0.003788926515122579,0.0,9.270362255620057e-15
R,21,42,0.016393344776143026,-0.009256999884739193,4.329866286928113,0.9494328980027255,1.4075233578729816,0.931640625,0.3934012479258124,-0.2863390757922418,0.1070621721335634,-0.05271792060774843,0.07076876607941297,0.0,-0.008257602534100367,-0.010585817811070972,0.07378686107475899,0.0,9.270362255620057e-15
