arm,step,group,rank,seed,unit,ok,eps,rel_err_wu,rel_err_W_other,rel_err_b,rel_err_v,rel_err_c,lambda_x,dyhat1
LR_a0p7_q0,200000,pos,2,0,73,False,0.01,7.371024282899355e-15,1.137618025163575e-13,5.918816662014186e-13,0.003926075834996454,1.0559481340080596e-12,0.005654376371519877,0.00703456911850996
LR_a0p7_q0,200000,pos,2,1,73,False,0.01,9.167403336385566e-15,1.1298272817432343e-13,8.565863188962754e-12,0.0010412985858547633,4.3291701250442546e-11,5.214250216302809e-05,0.0006803037102248416
LR_a0p7_q0,200000,pos,2,2,73,False,0.01,8.484636661026845e-15,1.064951745812703e-13,4.927498592142664e-12,0.0017722665217594848,1.1350978108216395e-11,0.00013125590074479385,0.0010887800859436727
LR_a0p7_q0,200000,pos,2,3,73,False,0.01,5.145809087308778e-15,1.0010399614136743e-13,1.4228150172476875e-12,0.002621296182069407,6.471652759784484e-13,0.002134758263901337,-0.004297169016401198
LR_a0p7_q0,200000,pos,2,4,73,False,0.01,1.0463586800935059e-14,1.0392148456200913e-13,1.20481881580434e-12,0.003923955863189783,3.215582562170336e-13,0.0017626158913250833,0.00391961643386855
LR_a0p7_q0,200000,pos,2,5,73,False,0.01,1.2884361184652295e-14,1.1383909825046856e-13,5.565133115038233e-13,0.005530675732167215,5.372833867581124e-13,0.017441387077425225,-0.012354798165443692
LR_a0p7_q0,200000,pos,2,6,73,False,0.01,1.3290181113238482e-14,1.1562204442424856e-13,5.324561187241509e-13,0.004474756350115578,5.051093803212477e-13,0.00748606803616585,0.008145853957346134
LR_a0p7_q0,200000,pos,2,7,73,False,0.01,2.879993529876222e-15,1.0816927604648496e-13,2.1653988816924197e-12,0.005725925114572454,1.3895788907880683e-11,0.0007025823918950564,-0.0025206805802996937
LR_a0p7_q0,200000,pos,2,8,73,False,0.01,1.4166490172311948e-14,1.1446470336052283e-13,7.779543389376931e-13,0.003939978189608617,2.95479765849654e-13,0.005624740785518924,0.007118430626116396
LR_a0p7_q0,200000,pos,2,9,73,False,0.01,2.3908675523405252e-14,1.1155517857071738e-13,7.179485766671896e-13,0.0034144697133311787,2.2374665478260776e-14,0.006772259616851065,0.007753069996341462
LR_a0p7_q0,200000,pos,3,0,72,False,0.01,1.6492586327398123e-14,1.1646618688010058e-13,9.210209829720269e-13,0.0030020833813563554,8.333162000962167e-13,0.002472081016646105,0.0046513229506256375
LR_a0p7_q0,200000,pos,3,1,72,False,0.01,1.1003424813006946e-14,1.0950335001543398e-13,3.780680958306168e-12,0.002065453391065256,1.0067000517641552e-11,0.00025775754543951897,0.001512559958601095
LR_a0p7_q0,200000,pos,3,2,72,False,0.01,1.1575638341225351e-14,1.057084672561111e-13,2.6446646035921816e-12,0.002251770283774412,4.804482993187543e-12,0.0003151616425043076,0.0016871256498437446
LR_a0p7_q0,200000,pos,3,3,72,False,0.01,3.1255897616296332e-15,1.1694783635466394e-13,4.028591101916407e-12,0.0011269376776572122,1.2326514536202351e-12,0.0002972738357525661,-0.0016035644787562248
LR_a0p7_q0,200000,pos,3,4,72,False,0.01,8.705759793857167e-15,1.0490899599861641e-13,1.0764985363895462e-12,0.00421904849568158,7.632846225725414e-13,0.004397865899500269,-0.0061913552029827035
LR_a0p7_q0,200000,pos,3,5,72,False,0.01,4.666315917329487e-15,1.197395933775427e-13,6.289178739511988e-13,0.0059172960630593414,6.790205173136733e-13,0.014981461704903524,-0.01145044167471743
LR_a0p7_q0,200000,pos,3,6,72,False,0.01,1.3530088558882392e-14,1.2017457460611864e-13,1.8452347538859904e-11,0.0001559424059706201,1.5731912684905772e-11,5.404296685042559e-06,-0.00021886651671365758
LR_a0p7_q0,200000,pos,3,7,72,False,0.01,1.0821740868767475e-14,1.1052814137239393e-13,3.922854749551834e-12,0.003947758988322481,1.5071866545647536e-11,0.0001633596577321888,0.0012154625782118116
LR_a0p7_q0,200000,pos,3,8,72,False,0.01,1.3397844983921372e-14,1.0355294735325105e-13,2.9811067579434145e-13,0.005607179037412042,3.1715583148327296e-13,0.03870722555567723,0.01867364172212745
LR_a0p7_q0,200000,pos,3,9,72,False,0.01,2.301247404236654e-14,1.2232252866358586e-13,9.836983413790548e-13,0.003959604822127548,5.38854804861921e-13,0.002470828459532062,0.004683043620825914
LR_a0p7_q0,200000,pos,4,0,71,False,0.01,2.1110230740945495e-14,1.1576562797008299e-13,4.442330615596463e-13,0.0033091075503247545,3.605247768756936e-13,0.010261851859595609,-0.009476719258113466
LR_a0p7_q0,200000,pos,4,1,71,False,0.01,7.489182322014942e-15,1.0151930450045142e-13,1.2093885697762742e-12,0.004402894176163912,3.963000395651748e-12,0.0027643023692212982,-0.004953357557255435
LR_a0p7_q0,200000,pos,4,2,71,False,0.01,1.2666256150037977e-14,1.0749742114372581e-13,4.11815454286785e-12,0.001845635777802383,1.2286156467109147e-11,0.00012896408417915198,-0.001079232809577605
LR_a0p7_q0,200000,pos,4,3,71,False,0.01,8.891069270972631e-15,1.047953859074019e-13,3.3103057590354334e-12,0.001280191897737573,1.7244599971833276e-13,0.0004471634806379713,0.001966714175072665
LR_a0p7_q0,200000,pos,4,4,71,False,0.01,8.63876109566809e-15,1.0812582567648426e-13,1.5012488462383403e-12,0.00392425500717538,2.033161612086558e-12,0.0017765868637657836,0.003935119746026665
