population,k,band,band_left,band_right,band_center,n_pair,n_seed,seed_ids,guard_main,guard_descriptive,F,D,H,F_path
A,10,3,0.3,0.4,0.35,18550,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.00020847780469868273,-4.7436438858322856e-05,0.00016104136584035983,-0.0001377916771330025
A,10,4,0.4,0.5,0.45,12311,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0005687404272760982,-0.00020501024432798093,0.00036373018294811704,-0.0003477745789961996
A,10,5,0.5,0.6,0.55,6266,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0006933828605674783,-0.00032949050672438906,0.0003638923538430895,-0.00011537255628895138
A,10,6,0.6,0.7,0.65,3346,10,"0,1,2,3,4,5,6,7,8,9",True,True,0.00022506027559456723,-0.00029286467962387404,-0.0005179249552184412,-6.703411682405304e-05
A,10,7,0.7,0.8,0.75,1663,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.0015119286799073458,-0.0005001095073520572,0.0010118191725552888,-0.0005387411531084091
A,10,8,0.8,0.9,0.85,1108,10,"0,1,2,3,4,5,6,7,8,9",True,True,-0.003226335732929661,-0.0007265573135531118,0.0024997784193765494,-0.000502759317572306
A,10,9,0.9,1.0,0.95,754,5,"1,4,6,7,8",False,False,-0.006320425786383252,-0.0017674762433475186,0.004552949543035732,-0.001744953275780891
A,10,10,1.0,1.1,1.05,383,4,"0,1,7,8",False,False,-0.0009865457077454234,-0.0003320835897336326,0.0006544621180117911,-0.0002646653713398018
A,10,11,1.1,1.2,1.15,180,2,"1,8",False,False,-0.0033427173630274946,-0.0010108397121831674,0.0023318776508443276,-0.0021710142945365455
A,10,12,1.2,1.3,1.25,121,2,"1,8",False,False,-0.0001788868699445803,-0.00010512272827839075,7.376414166618953e-05,8.522534472518352e-05
