task,f,shock_ce,shock_acc,gate_corr,gate_l1,N,N2,D2,cos,arm,k,act,param,seed,actname,gw2,g2,e2,xi,R,graw,phi2_batch,alive,addgap,S2,rho,sigma,zbar,nz,acc
64,0.9005102040816326,0.19051194190979004,0.93798828125,0.8898113477975048,0.23754521103812148,5.629820325197704,31.90595253199245,0.3134412909778069,0.019704301484074257,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
65,0.9017857142857143,0.14186720550060272,0.95849609375,0.933735091567284,0.17807963069399238,5.660963725894453,32.25655615228852,0.2805762994441152,0.01220038463194678,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
66,0.9030612244897959,0.18562380969524384,0.935546875,0.9126497244144158,0.2121365405108712,5.694700403659192,32.64117637523885,0.2784282216524598,0.016394206774012415,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
67,0.9005102040816326,0.18823093175888062,0.94189453125,0.8974643444769768,0.23144476000135625,5.728604692982481,33.02827378886909,0.31183393997371317,0.011591551433880538,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
68,0.9005102040816326,0.22027015686035156,0.926025390625,0.898596366758041,0.2282728616830493,5.767828358846328,33.4815558548664,0.33164765117088807,0.017853964415250053,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
69,0.9017857142857143,0.17873427271842957,0.942138671875,0.9166245230127024,0.20615433846529913,5.801214365799852,33.8697057826469,0.2916330648587353,0.014721993978240554,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
70,0.9030612244897959,0.18119294941425323,0.940185546875,0.8974477338248456,0.22958850342745946,5.843838513916769,34.36562757378017,0.30271605608052615,0.0299257596168436,K010_ELU1,0.1,elu,1.0,1,ELU1,0.0001899901151139696,0.2822824013978747,2.9371600142072923e-05,0.3109781742841518,73.68679813177542,0.050575035269319946,0.35897851944764714,1.0,2.3092638912203256e-14,0.018189509343114595,16.64234314242871,2.735237140925237,-1.5608571345819686,1.0,0.9682000279426575
71,0.9030612244897959,0.18153069913387299,0.944091796875,0.8976255212168688,0.2253196147244979,5.875894701669451,34.73818249727229,0.3030298269805939,0.011033156652563977,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
72,0.9005102040816326,0.1480860561132431,0.95458984375,0.9300235484999481,0.1836248797979234,5.906986109304426,35.10407051138492,0.24445376539272798,0.020478748613610747,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
73,0.9005102040816326,0.252581387758255,0.921142578125,0.9064874744798455,0.21583270163694693,5.940007545879017,35.494877184451134,0.2832915907898077,0.01634613017023285,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
74,0.9005102040816326,0.21843399107456207,0.92919921875,0.9088614817390405,0.21472196715523104,5.973481104095076,35.89307000618941,0.313635807142392,0.012318187512395275,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
75,0.9017857142857143,0.1713276505470276,0.946044921875,0.9150235218133026,0.2040762787500852,6.003611714105786,36.25246377588815,0.27257694601891047,0.013918138718925797,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
76,0.9005102040816326,0.1703183948993683,0.947021484375,0.9019200004305198,0.22885299737880427,6.029595660326609,36.565273027787185,0.2910413544287275,0.00339970823629809,K010_ELU1,0.1,elu,1.0,1,ELU1,,,,,,,,,,,,,,,
