act,env,lo,hi,n,early,eP,eB,eV,early_updown,late,lP,lB,lV,late_updown
R,RL,-1.0,0.0,10818,-0.02475421561805249,-0.02475422163737919,0.0,0.0,0.45285288604979756,0.0002195696703783443,0.00021957817721519147,0.0,0.0,1.0017596894812446
R,RL,-2.0,-1.0,59,-3.1727712044446945,-3.1727723620636,0.0,0.0,0.34320342040621493,0.06587311120461367,0.06587714401378218,0.0,0.0,1.0061419534031424
R,RL,-4.0,-2.0,3244,-0.12154644304978061,-0.12154649334315394,0.0,0.0,0.30425642547859727,0.004924340302944676,0.004924502693264052,0.0,0.0,1.0151074510198463
R,RL,-8.0,-4.0,15943,-0.030324982308215415,-0.03032499214014451,0.0,0.0,0.24388237727638273,0.0024956052102677985,0.0024957215781947813,0.0,0.0,1.0568152218860694
R,RL,-16.0,-8.0,14530,-0.005384488811233862,-0.005384484957285767,0.0,0.0,0.11814682846251269,0.0005084386891160536,0.0005084894383092421,0.0,0.0,1.419692973716643
R,PM,0.0,inf,1612,-1.814135545113035,-1.8141356816590137,0.0,0.0,0.7296496985546757,-0.061846499171010316,-0.06184303064320012,0.0,0.0,0.9926199722042971
R,PM,-1.0,0.0,1094,-1.6024037934763882,-1.6024036639035417,0.0,0.0,0.5710279130382939,0.16005210616467327,0.16005847335812423,0.0,0.0,1.0872520693814534
R,PM,-2.0,-1.0,2298,-0.9054724274087422,-0.9054725638368455,0.0,0.0,0.6342992272459103,0.11049514539934406,0.11050008354851694,0.0,0.0,1.0823900075719215
R,PM,-4.0,-2.0,8080,-0.5006409856920513,-0.5006410758125269,0.0,0.0,0.7405404110698854,0.11702372244042729,0.11702872742716042,0.0,0.0,1.0741393878510312
R,PM,-8.0,-4.0,15796,-0.31964367622230877,-0.3196439417501195,0.0,0.0,0.8046124161141434,0.14139177031051067,0.14139908605770776,0.0,0.0,1.0733430292899218
R,PM,-16.0,-8.0,15353,-0.05944522948761338,-0.05944544909636267,0.0,0.0,0.9004355886189733,0.07863913382825832,0.07864368110684407,0.0,0.0,1.102165357237589
R,PM,-inf,-16.0,467,0.01981941969958122,0.01981954240083954,0.0,0.0,1.1122409386976084,0.03983520523939586,0.039839382831650345,0.0,0.0,1.2155227986340849
