task,N,N2,D2,erode,cos,arm,kind,param,seed,S2,D2_track,rho,G1,G5,G25,G125,G625,A1,A2,A3,A4,A5,A10,A20,A50,A100,A200,A400,X,X_hat,X_short_frac,X_long_frac,kap1,kap2,graw,gcorr,sigma,zbar,acc
90,6.138372304840616,37.69911006643985,0.7519017343323918,-0.3985745304206107,-0.038443534140426935,SN15,snake,1.5,0,0.02461796562437105,0.7519017343323918,30.542805437506647,1.0,4.347365687750637,12.913991655056787,21.126544048638394,30.542805437506647,0.9069688451485584,0.818323136878898,0.7345049329995108,0.6564595300348085,0.584852497799113,0.30556508602679316,0.089430668325957,0.011594477614664459,0.0154713732677175,0.025188521928619746,0.033632487370143085,0.7272837687080208,0.6327071606463247,0.583878281751112,0.4161217182488881,0.11922593870041347,0.058078180405372166,0.10533616656499334,0.006200994517810397,2.2157301501212117,-0.5646807646204032,0.8779000043869019
91,6.169487326921968,38.08214976617683,0.7187014865103533,-0.3356617867733668,-0.0327547535613823,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,6.199094009279015,38.447413549977256,0.7315114192011642,-0.36624763540074795,-0.03618328037909503,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,6.233836980391443,38.87965892228576,0.6969171525872929,-0.26467178027878197,-0.02624854828255423,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,6.265651570024645,39.27754385585607,0.7425464963998519,-0.34466156282954535,-0.03305216290785618,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6.296727033800647,39.66607455432692,0.6986772425889275,-0.31014654411807707,-0.029769054008698382,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,6.326238250972836,40.0390878435841,0.7340425255060616,-0.36102923624887623,-0.03431509830185788,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,6.356608332674054,40.42567996510967,0.6989042759147079,-0.3123121543891375,-0.030496290723251506,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,6.389634243624141,40.84656424132874,0.6858989157946302,-0.2650146395755639,-0.025873528393036,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,6.416673445470807,41.193229980145354,0.6690735082127632,-0.3224077693961454,-0.031203715563937306,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6.448287193556487,41.5999312567261,0.7343722102977266,-0.3276709337169821,-0.030427630266329456,SN15,snake,1.5,0,0.025371463837109136,0.7343722102977267,28.94481039850802,1.0,4.343049164325328,12.425229627680698,20.34540681789432,28.94481039850802,0.9061146876288513,0.8174837254870875,0.7344257407128238,0.6571789641582354,0.5866487536162814,0.3139926308955872,0.07920564966499584,0.02004570808867202,0.012350034048147137,0.025806963363884338,0.018707322914960352,0.7090007464606176,0.6153009797690254,0.5885229170588594,0.4114770829411405,0.1206873201601505,0.05967928201783416,0.10393926812885439,0.0042707007336251915,2.377735004748336,-0.7759393028783238,0.8866999745368958
101,6.476629891136029,41.9670019485564,0.7456264517743594,-0.37855575994406465,-0.03472003542753649,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,6.505261434892398,42.34119032507607,0.713799037620636,-0.33961066110096466,-0.031321116917967816,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,6.531306403507615,42.67962562940924,0.6819765751935138,-0.3435412708603414,-0.03228603315882882,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,6.560100435020163,43.05586672607279,0.6820126997982405,-0.30577160313469,-0.02990590100034919,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6.5897702994904845,43.44698845459765,0.7220809152997616,-0.3309591867748975,-0.030702815579696834,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,6.6159629509733735,43.79270441024477,0.6766882216492643,-0.3309722660021513,-0.03191499051390443,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6.642128992069352,44.139939073888456,0.7033645163315412,-0.3561298526878525,-0.0332006721390378,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,6.6666968005222635,44.467280018995154,0.6728650492223056,-0.3455241041156097,-0.03215051287706455,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,6.696773825542945,44.86806957308828,0.7275165713050284,-0.3267270172119032,-0.029181642713105912,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,6.725621156180975,45.25626770792058,0.7096944276813578,-0.32149629284906467,-0.029970925783165576,SN15,snake,1.5,0,0.0232328841385101,0.7096944276813578,30.546979163253802,1.0,4.336332031345546,12.857812275458762,21.075101299789196,30.546979163253802,0.9064674414494914,0.8187894422534975,0.7362099501860088,0.6597121740147315,0.5867902016164054,0.31544848634315586,0.09531782699614987,0.027777271951370364,0.024091584441469402,0.02444097412010737,0.023062769978434552,0.6864615435428477,0.5998013608849505,0.5791851931240393,0.4208148068759608,0.1138730723088564,0.054601568823738456,0.09766270906766479,0.00997938283028526,2.4410549649481355,-0.38530895144412514,0.8841999769210815
111,6.751604419932125,45.605198204513556,0.7091224316471955,-0.360191935054212,-0.033201130459874356,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6.781491609227988,46.01063443253466,0.6718037953393405,-0.2663675673182316,-0.02549063605442352,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,6.809489116942325,46.38924553267085,0.737903764328965,-0.3592926641927804,-0.03040006263072367,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,6.836367893202443,46.75503827963052,0.7487579750796348,-0.38296522811996325,-0.03381685675570985,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,6.863217371825474,47.12420124574785,0.6950730140598101,-0.325910047942487,-0.029327863692166955,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6.891188024101604,47.508476687809114,0.7437923073749279,-0.35951686531365395,-0.03142027053619899,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,6.91910134071672,47.89492290515796,0.7438900221489402,-0.3574438048000977,-0.03197867326099238,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,6.944901679670747,48.25274922588644,0.6839754832769951,-0.3261491625485119,-0.028786920428083312,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6.9696660735084155,48.59647060656894,0.6920390233022637,-0.3483176426197578,-0.031285968492533706,SN15,snake,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
