target,feature,a,seed,slope,intercept,r2,spearman,ba
dsigma2,q_integral,0.550000011920929,6.0,0.010392057,-0.0012635929,0.003391444683074951,0.06401318097611337,0.5224475721026397
dsigma2,q_integral,0.550000011920929,7.0,0.010392057,-0.0012635929,0.0021057724952697754,0.08169256108062233,0.5248352737996682
dsigma2,q_integral,0.550000011920929,8.0,0.010392057,-0.0012635929,0.003308594226837158,0.06551176510137546,0.5227861401866656
dsigma2,q_integral,0.550000011920929,9.0,0.010392057,-0.0012635929,0.0035349130630493164,0.06433876151112893,0.5260701821008429
dsigma2,q_integral,0.6000000238418579,5.0,0.010392057,-0.0012635929,0.005037665367126465,0.06727745685804518,0.5247590455891871
dsigma2,q_integral,0.6000000238418579,6.0,0.010392057,-0.0012635929,0.004715144634246826,0.0766974871233704,0.5298613019520634
dsigma2,q_integral,0.6000000238418579,7.0,0.010392057,-0.0012635929,0.0032001137733459473,0.06738500705548063,0.5240002034480807
dsigma2,q_integral,0.6000000238418579,8.0,0.010392057,-0.0012635929,0.0033611059188842773,0.06317199486316116,0.5287308104097654
dsigma2,q_integral,0.6000000238418579,9.0,0.010392057,-0.0012635929,0.004024922847747803,0.06532699503299363,0.5295400590264814
dsigma2,q_integral,0.6499999761581421,5.0,0.010392057,-0.0012635929,0.006012082099914551,0.06295671990629914,0.5289091703936615
dsigma2,q_integral,0.6499999761581421,6.0,0.010392057,-0.0012635929,0.00533980131149292,0.07468203213501551,0.53133072622233
dsigma2,q_integral,0.6499999761581421,7.0,0.010392057,-0.0012635929,0.0019571781158447266,0.032894124224896085,0.5180460795453439
dsigma2,q_integral,0.6499999761581421,8.0,0.010392057,-0.0012635929,0.00366288423538208,0.0583934718604265,0.527226287632037
dsigma2,q_integral,0.6499999761581421,9.0,0.010392057,-0.0012635929,0.003763854503631592,0.048363952433545195,0.5259954245644051
dsigma2,q_integral,0.800000011920929,5.0,0.010392057,-0.0012635929,0.0018110871315002441,0.056163228813128616,0.5234833824329672
dsigma2,q_integral,0.800000011920929,6.0,0.010392057,-0.0012635929,0.0011019706726074219,0.06319649350900343,0.5257712818793916
dsigma2,q_integral,0.800000011920929,7.0,0.010392057,-0.0012635929,0.005497395992279053,0.060559842197911384,0.5249531277679191
dsigma2,q_integral,0.800000011920929,8.0,0.010392057,-0.0012635929,0.0027422308921813965,0.03863159681278881,0.5181076191560978
dsigma2,q_integral,0.800000011920929,9.0,0.010392057,-0.0012635929,0.0004906654357910156,0.03785460418576736,0.5198561010733491
dsigma2,q_uniform,0.3499999940395355,5.0,0.028157072,-0.0008816814,-0.0030951499938964844,0.03298094305951949,0.5064160788011723
dsigma2,q_uniform,0.3499999940395355,6.0,0.028157072,-0.0008816814,-0.0035082101821899414,0.05191067498328777,0.5146112454251415
dsigma2,q_uniform,0.3499999940395355,7.0,0.028157072,-0.0008816814,-0.0008901357650756836,0.06560071401153035,0.5285141982300996
dsigma2,q_uniform,0.3499999940395355,8.0,0.028157072,-0.0008816814,-0.002094268798828125,0.03683000425434569,0.5129637434914514
dsigma2,q_uniform,0.3499999940395355,9.0,0.028157072,-0.0008816814,-0.0024480819702148438,0.0339385180254598,0.5109855451079364
dsigma2,q_uniform,0.4000000059604645,5.0,0.028157072,-0.0008816814,-0.004009246826171875,0.02892093366844625,0.511430981601479
dsigma2,q_uniform,0.4000000059604645,6.0,0.028157072,-0.0008816814,-0.003630399703979492,0.039858450650061404,0.5190157074359518
dsigma2,q_uniform,0.4000000059604645,7.0,0.028157072,-0.0008816814,-2.7418136596679688e-05,0.07188871484103972,0.5348605274785823
dsigma2,q_uniform,0.4000000059604645,8.0,0.028157072,-0.0008816814,-0.0034742355346679688,0.017003139630380755,0.508506386461961
dsigma2,q_uniform,0.4000000059604645,9.0,0.028157072,-0.0008816814,-0.0031610727310180664,0.016685310688679077,0.5033441153000993
dsigma2,q_uniform,0.44999998807907104,5.0,0.028157072,-0.0008816814,-0.002088785171508789,0.02728641881953449,0.5131352840765216
dsigma2,q_uniform,0.44999998807907104,6.0,0.028157072,-0.0008816814,-0.0024919509887695312,0.01392603045711634,0.505300732969244
dsigma2,q_uniform,0.44999998807907104,7.0,0.028157072,-0.0008816814,0.0005929470062255859,0.07170510359912127,0.5295737576908061
dsigma2,q_uniform,0.44999998807907104,8.0,0.028157072,-0.0008816814,0.00013434886932373047,0.04012978535295031,0.5156202118293526
dsigma2,q_uniform,0.44999998807907104,9.0,0.028157072,-0.0008816814,-0.0007206201553344727,0.024512248889389805,0.5139744637064151
dsigma2,q_uniform,0.550000011920929,5.0,0.028157072,-0.0008816814,0.000696718692779541,0.04296761376367181,0.5206742488217846
dsigma2,q_uniform,0.550000011920929,6.0,0.028157072,-0.0008816814,0.001395881175994873,0.0534794501633231,0.5203686564473076
dsigma2,q_uniform,0.550000011920929,7.0,0.028157072,-0.0008816814,0.0003827214241027832,0.06416961671772432,0.5223079486065996
